341.0	962.0	941.0	21.0	1.0	0.0	0.0	1.0
346.0	1000.0	957.0	21.0	1.0	0.0	0.0	1.0
347.0	999.0	954.0	21.0	5.0	0.0	0.0	1.0
345.0	999.0	946.0	21.0	5.0	0.0	0.0	1.0
341.0	995.0	941.0	21.0	5.0	0.0	0.0	1.0
340.0	999.0	943.0	21.0	5.0	0.0	0.0	1.0
341.0	999.0	953.0	21.0	5.0	0.0	0.0	1.0
340.0	998.0	968.0	21.0	5.0	0.0	0.0	1.0
340.0	998.0	981.0	21.0	5.0	0.0	0.0	1.0
339.0	996.0	986.0	21.0	5.0	0.0	0.0	1.0
340.0	1006.0	985.0	21.0	5.0	0.0	0.0	1.0
352.0	981.0	962.0	21.0	5.0	0.0	0.0	1.0
378.0	978.0	950.0	21.0	5.0	0.0	0.0	1.0
420.0	1023.0	963.0	21.0	5.0	0.0	0.0	1.0
431.0	1020.0	967.0	21.0	5.0	0.0	0.0	1.0
459.0	984.0	975.0	21.0	5.0	0.0	0.0	1.0
416.0	960.0	969.0	21.0	5.0	0.0	0.0	1.0
418.0	990.0	973.0	21.0	5.0	0.0	0.0	1.0
392.0	963.0	950.0	21.0	5.0	1.0	0.0	1.0
455.0	1011.0	964.0	21.0	5.0	-1.0	0.0	1.0
439.0	1023.0	962.0	21.0	5.0	0.0	0.0	1.0
456.0	1023.0	985.0	21.0	5.0	-1.0	0.0	1.0
393.0	1023.0	1003.0	21.0	5.0	0.0	0.0	1.0
451.0	991.0	999.0	21.0	5.0	0.0	0.0	1.0
579.0	1023.0	990.0	21.0	5.0	0.0	0.0	-1.0
449.0	1023.0	990.0	21.0	5.0	0.0	0.0	2.0
536.0	1023.0	1012.0	21.0	5.0	0.0	0.0	-2.0
451.0	942.0	977.0	21.0	5.0	0.0	0.0	2.0
584.0	1023.0	992.0	21.0	5.0	0.0	0.0	-1.0
536.0	963.0	961.0	21.0	5.0	0.0	0.0	0.0
480.0	1023.0	979.0	21.0	5.0	0.0	0.0	0.0
530.0	954.0	982.0	21.0	5.0	0.0	0.0	-1.0
413.0	989.0	971.0	21.0	5.0	-1.0	1.0	1.0
516.0	1023.0	987.0	21.0	5.0	0.0	0.0	0.0
472.0	851.0	934.0	21.0	5.0	0.0	0.0	0.0
464.0	932.0	933.0	21.0	5.0	0.0	0.0	0.0
494.0	949.0	933.0	21.0	5.0	0.0	0.0	0.0
464.0	1023.0	974.0	21.0	5.0	0.0	0.0	0.0
525.0	1006.0	950.0	21.0	5.0	0.0	0.0	0.0
447.0	936.0	932.0	21.0	2.0	0.0	0.0	2.0
363.0	1023.0	969.0	21.0	2.0	0.0	0.0	0.0
413.0	1023.0	986.0	21.0	2.0	-1.0	0.0	0.0
503.0	987.0	976.0	21.0	2.0	1.0	0.0	0.0
336.0	862.0	946.0	21.0	2.0	0.0	0.0	0.0
460.0	1023.0	969.0	21.0	2.0	0.0	0.0	0.0
492.0	1007.0	960.0	21.0	2.0	0.0	0.0	0.0
369.0	1023.0	984.0	21.0	2.0	0.0	0.0	0.0
423.0	963.0	965.0	21.0	2.0	0.0	0.0	0.0
432.0	1023.0	992.0	21.0	2.0	0.0	0.0	0.0
381.0	1023.0	994.0	21.0	1.0	0.0	0.0	0.0
501.0	1023.0	978.0	21.0	1.0	1.0	0.0	0.0
351.0	1019.0	990.0	21.0	1.0	-2.0	0.0	0.0
456.0	990.0	982.0	21.0	1.0	-2.0	0.0	0.0
457.0	982.0	993.0	21.0	1.0	-2.0	0.0	0.0
464.0	1023.0	980.0	21.0	1.0	0.0	0.0	0.0
450.0	933.0	955.0	21.0	1.0	0.0	0.0	0.0
304.0	1018.0	964.0	21.0	1.0	-1.0	0.0	0.0
331.0	1000.0	976.0	21.0	1.0	-1.0	0.0	0.0
483.0	1022.0	977.0	21.0	1.0	-1.0	0.0	0.0
538.0	1023.0	954.0	21.0	1.0	0.0	0.0	0.0
499.0	990.0	960.0	21.0	1.0	2.0	0.0	0.0
526.0	967.0	970.0	21.0	1.0	0.0	-1.0	0.0
560.0	964.0	980.0	21.0	1.0	0.0	-1.0	0.0
480.0	976.0	957.0	21.0	1.0	0.0	-1.0	0.0
409.0	976.0	959.0	21.0	1.0	0.0	0.0	0.0
490.0	992.0	942.0	21.0	4.0	0.0	0.0	0.0
500.0	988.0	943.0	23.0	4.0	0.0	0.0	0.0
443.0	1007.0	968.0	23.0	4.0	0.0	0.0	0.0
